Event,Region,Place,Location,Player Name,Deck,Engine
Regional,NA,Top 4,Philadelphia Pennsylvania,Logan MacMinn Coomes,Ryzeal,Fiendsmith
Regional,NA,Top 4,Philadelphia Pennsylvania,Manuel Wilfredo Bermudez,Maliss,Sky striker
Regional,NA,Top 8,Philadelphia Pennsylvania,Tyler Michael Johns,Maliss,Sky striker
Regional,NA,Top 8,Philadelphia Pennsylvania,John Michael Thraen,Maliss,Sky striker
Regional,NA,Top 8,Philadelphia Pennsylvania,Tyler Chase Bendel,Ryzeal,Fiendsmith
Regional,NA,Top 8,Philadelphia Pennsylvania,Sajidul Islam Chowdhury,Ryzeal,No Engine
Regional,NA,1st,Saskatoon Saskatchewan CAN,Ethan Robert Senecal,Ryzeal,Fiendsmith
Regional,NA,2nd,Saskatoon Saskatchewan CAN,Justice James Sparvier Kinequon,Ryzeal,Toy Box
Regional,NA,Top 4,Saskatoon Saskatchewan CAN,Matthew James Rossler,Voiceless Voice,No Engine
Regional,NA,Top 4,Saskatoon Saskatchewan CAN,Cole Dylan Chad Maki,Maliss,No Engine
Regional,NA,Top 8,Saskatoon Saskatchewan CAN,Kyle Joseph Wehage,Magical Musketeer,Fiendsmith Bystial
Regional,NA,Top 8,Saskatoon Saskatchewan CAN,Minsoo Kim,Magical Musketeer,Fiendsmith
Regional,NA,Top 8,Saskatoon Saskatchewan CAN,Akash Kumar Duggal,Maliss,Sky striker
Regional,NA,Top 8,Saskatoon Saskatchewan CAN,Ethan Zachary Caswell Wurst,Ryzeal,Fiendsmith
Regional,NA,1st,Rosemont Illinois,Joseph Francis Dietrich,Ryzeal,Fiendsmith
Regional,NA,2nd,Rosemont Illinois,Corey Joseph Bown,Maliss,Bystial
Regional,NA,Top 4,Rosemont Illinois,Michael Haynes Thomas,Ryzeal,Fiendsmith
Regional,NA,Top 4,Rosemont Illinois,Nicholas Ellis Simon,Ryzeal,Fiendsmith
Regional,NA,Top 8,Rosemont Illinois,Jared Andrew Mendel,Maliss,Fiendsmith
Regional,NA,Top 8,Rosemont Illinois,Brandan Nicholas Veltchev,Ritual Beast,Nemesis
Regional,NA,Top 8,Rosemont Illinois,Dominic Eduardo Couch,Ryzeal,No Engine
Regional,NA,Top 8,Rosemont Illinois,John Alexander Baker,Ryzeal,Fiendsmith
Regional,NA,1st,Greenville South Carolina,Aaron Hunter Levy,Labrynth,Fiendsmith Kash
Regional,NA,2nd,Greenville South Carolina,Logan Michael Kite,Maliss,Sky striker
Regional,NA,Top 4,Greenville South Carolina,Chandler Eugene Morrow,Ryzeal,Fiendsmith Bystial
Regional,NA,Top 4,Greenville South Carolina,Chase Jordan Lay,Ryzeal,No Engine
Regional,NA,Top 8,Greenville South Carolina,David Deandre Golightly,Kashtira,Fiendsmith
Regional,NA,Top 8,Greenville South Carolina,Matthew David Huddleston,Ryzeal,Fiendsmith
Regional,NA,Top 8,Greenville South Carolina,Joshua Andrew Mulkins,Ryzeal,Fiendsmith
Regional,NA,Top 8,Greenville South Carolina,Zakarle Lanier Guivas,Ryzeal,No Engine
Regional,NA,1st,Lexington Remote Duel,Evan Hornick,Dinomorphia,No Engine
Regional,NA,2nd,Lexington Remote Duel,Shanxiao Wan,Ryzeal,No Engine
Regional,NA,Top 4,Lexington Remote Duel,Brandon Taylor Conrad,Maliss,Fiendsmith
Regional,NA,Top 4,Lexington Remote Duel,Yang Cheng Hu,Unknown,No Engine
Regional,NA,Top 8,Lexington Remote Duel,Khoa Thua Khuc,Maliss,Kashtira
Regional,NA,Top 8,Lexington Remote Duel,Tristan Daniel Bridges,Ryzeal,Fiendsmith
Regional,NA,Top 8,Lexington Remote Duel,Emmanuel Lee Domingue,Unknown,No Engine
Regional,NA,Top 8,Lexington Remote Duel,Adam Miller,Tenpai Dragon,Fiendsmith Bystial
