Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8
Regional;NA;Top 4;Philadelphia Pennsylvania;Logan MacMinn Coomes;Ryzeal;Fiendsmith;4
Regional;NA;Top 4;Philadelphia Pennsylvania;Manuel Wilfredo Bermudez;Maliss;Sky Striker;4
Regional;NA;Top 8;Philadelphia Pennsylvania;Tyler Michael Johns;Maliss;Sky Striker;4
Regional;NA;Top 8;Philadelphia Pennsylvania;John Michael Thraen;Maliss;Sky Striker;4
Regional;NA;Top 8;Philadelphia Pennsylvania;Tyler Chase Bendel;Ryzeal;Fiendsmith;4
Regional;NA;Top 8;Philadelphia Pennsylvania;Sajidul Islam Chowdhury;Ryzeal;No Engine;4
Regional;NA;1st;Saskatoon Saskatchewan CAN;Ethan Robert Senecal;Ryzeal;Fiendsmith;4
Regional;NA;2nd;Saskatoon Saskatchewan CAN;Justice James Sparvier Kinequon;Ryzeal;Toy Box;4
Regional;NA;Top 4;Saskatoon Saskatchewan CAN;Matthew James Rossler;Voiceless Voice;No Engine;4
Regional;NA;Top 4;Saskatoon Saskatchewan CAN;Cole Dylan Chad Maki;Maliss;No Engine;4
Regional;NA;Top 8;Saskatoon Saskatchewan CAN;Kyle Joseph Wehage;Magical Musketeer;Fiendsmith Bystial;4
Regional;NA;Top 8;Saskatoon Saskatchewan CAN;Minsoo Kim;Magical Musketeer;Fiendsmith;4
Regional;NA;Top 8;Saskatoon Saskatchewan CAN;Akash Kumar Duggal;Maliss;Sky Striker;4
Regional;NA;Top 8;Saskatoon Saskatchewan CAN;Ethan Zachary Caswell Wurst;Ryzeal;Fiendsmith;4
Regional;NA;1st;Rosemont Illinois;Joseph Francis Dietrich;Ryzeal;Fiendsmith;4
Regional;NA;2nd;Rosemont Illinois;Corey Joseph Bown;Maliss;Bystial;4
Regional;NA;Top 4;Rosemont Illinois;Michael Haynes Thomas;Ryzeal;Fiendsmith;4
Regional;NA;Top 4;Rosemont Illinois;Nicholas Ellis Simon;Ryzeal;Fiendsmith;4
Regional;NA;Top 8;Rosemont Illinois;Jared Andrew Mendel;Maliss;Fiendsmith;4
Regional;NA;Top 8;Rosemont Illinois;Brandan Nicholas Veltchev;Ritual Beast;Nemesis;4
Regional;NA;Top 8;Rosemont Illinois;Dominic Eduardo Couch;Ryzeal;No Engine;4
Regional;NA;Top 8;Rosemont Illinois;John Alexander Baker;Ryzeal;Fiendsmith;4
Regional;NA;1st;Greenville South Carolina;Aaron Hunter Levy;Labrynth;Fiendsmith;4
Regional;NA;2nd;Greenville South Carolina;Logan Michael Kite;Maliss;Sky Striker;4
Regional;NA;Top 4;Greenville South Carolina;Chandler Eugene Morrow;Ryzeal;Fiendsmith Bystial;4
Regional;NA;Top 4;Greenville South Carolina;Chase Jordan Lay;Ryzeal;No Engine;4
Regional;NA;Top 8;Greenville South Carolina;David Deandre Golightly;Kashtira;Fiendsmith;4
Regional;NA;Top 8;Greenville South Carolina;Matthew David Huddleston;Ryzeal;Fiendsmith;4
Regional;NA;Top 8;Greenville South Carolina;Joshua Andrew Mulkins;Ryzeal;Fiendsmith;4
Regional;NA;Top 8;Greenville South Carolina;Zakarle Lanier Guivas;Ryzeal;No Engine;4
